情书,岩井俊二,8.8,中山美穗 丰川悦司 酒井美纪 柏原崇 范文雀,https://movie.douban.com/subject/1292220/
本杰明·巴顿奇事,大卫·芬奇,8.8,凯特·布兰切特 布拉德·皮特 朱莉娅·奥蒙德 芳妮·A·钱勃丝 伊莱亚斯·科泰斯,https://movie.douban.com/subject/1485260/
摔跤吧！爸爸,涅提·蒂瓦里,9.1,阿米尔·汗 法缇玛·萨那·纱卡 桑亚·玛荷塔 阿帕尔夏克提·库拉那 沙克希·坦沃,https://movie.douban.com/subject/26387939/
蝴蝶效应,埃里克·布雷斯 J·麦基·格鲁伯,8.7,阿什顿·库彻 梅罗拉·沃特斯 艾米·斯马特 埃尔登·汉森 威廉姆·李·斯科特,https://movie.douban.com/subject/1292343/
你的名字。,新海诚,8.4,神木隆之介 上白石萌音 长泽雅美 市原悦子 成田凌,https://movie.douban.com/subject/26683290/
沉默的羔羊,乔纳森·戴米,8.7,朱迪·福斯特 安东尼·霍普金斯 斯科特·格伦 安东尼·希尔德 布鲁克·史密斯,https://movie.douban.com/subject/1293544/
失恋33天,滕华涛,7.3,白百何 文章 张嘉译 王耀庆 张子萱,https://movie.douban.com/subject/4873490/
教父,弗朗西斯·福特·科波拉,9.2,马龙·白兰度 阿尔·帕西诺 詹姆斯·肯恩 理查德·卡斯特尔诺 罗伯特·杜瓦尔,https://movie.douban.com/subject/1291841/
西西里的美丽传说,朱塞佩·托纳多雷,8.8,莫妮卡·贝鲁奇 朱塞佩·苏尔法罗 埃丽萨·莫鲁奇,https://movie.douban.com/subject/1292402/
触不可及,奥利维埃·纳卡什 埃里克·托莱达诺,9.2,弗朗索瓦·克鲁塞 奥玛·希 安娜·勒尼 奥德雷·弗勒罗 托马·索利韦尔,https://movie.douban.com/subject/6786002/
重庆森林,王家卫,8.7,林青霞 金城武 梁朝伟 王菲 周嘉玲,https://movie.douban.com/subject/1291999/
禁闭岛,马丁·斯科塞斯,8.7,莱昂纳多·迪卡普里奥 马克·鲁弗洛 本·金斯利 马克斯·冯·叙多夫 米歇尔·威廉姆斯,https://movie.douban.com/subject/2334904/
老炮儿,管虎,7.9,冯小刚 许晴 张涵予 刘桦 李易峰,https://movie.douban.com/subject/24751756/
断背山,李安,8.7,希斯·莱杰 杰克·吉伦哈尔 米歇尔·威廉姆斯 安妮·海瑟薇 凯特·玛拉,https://movie.douban.com/subject/1418834/
低俗小说,昆汀·塔伦蒂诺,8.8,约翰·特拉沃尔塔 乌玛·瑟曼 阿曼达·普拉莫 蒂姆·罗斯 塞缪尔·杰克逊,https://movie.douban.com/subject/1291832/
闻香识女人,马丁·布莱斯,8.9,阿尔·帕西诺 克里斯·奥唐纳 詹姆斯·瑞布霍恩 加布里埃尔·安瓦尔 菲利普·塞默·霍夫曼,https://movie.douban.com/subject/1298624/
国王的演讲,汤姆·霍珀,8.3,科林·费尔斯 杰弗里·拉什 海伦娜·伯翰·卡特 盖·皮尔斯 迈克尔·刚本,https://movie.douban.com/subject/4023638/
喜剧之王,周星驰 李力持,8.5,周星驰 张柏芝 莫文蔚 吴孟达 林子善,https://movie.douban.com/subject/1302425/
致命魔术,克里斯托弗·诺兰,8.8,休·杰克曼 克里斯蒂安·贝尔 迈克尔·凯恩 丽贝卡·豪尔 斯嘉丽·约翰逊,https://movie.douban.com/subject/1780330/
穿普拉达的女王,大卫·弗兰科尔,7.9,安妮·海瑟薇 梅丽尔·斯特里普 艾米莉·布朗特 斯坦利·图齐 西蒙·贝克,https://movie.douban.com/subject/1482072/
后会无期,韩寒,7.1,冯绍峰 陈柏霖 钟汉良 王珞丹 袁泉,https://movie.douban.com/subject/25805741/
美丽心灵,朗·霍华德,8.9,罗素·克劳 艾德·哈里斯 詹妮弗·康纳利 克里斯托弗·普卢默 保罗·贝坦尼,https://movie.douban.com/subject/1306029/
消失的爱人,大卫·芬奇,8.7,本·阿弗莱克 裴淳华 尼尔·帕特里克·哈里斯 凯莉·库恩 泰勒·派瑞,https://movie.douban.com/subject/21318488/
天堂电影院,朱塞佩·托纳多雷,9.1,安东内拉·阿蒂利 恩佐·卡拉瓦勒 艾萨·丹尼埃利 里奥·故罗塔 马克·莱昂纳蒂,https://movie.douban.com/subject/1291828/
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,9.1,克里斯蒂安·贝尔 希斯·莱杰 艾伦·艾克哈特 迈克尔·凯恩 玛吉·吉伦哈尔,https://movie.douban.com/subject/1851857/
告白,中岛哲也,8.7,松隆子 冈田将生 木村佳乃 西井幸人 桥本爱,https://movie.douban.com/subject/4268598/
中国合伙人,陈可辛,7.6,黄晓明 邓超 佟大为 杜鹃,https://movie.douban.com/subject/11529526/
志明与春娇,彭浩翔,8.0,杨千嬅 余文乐 黄德斌 陈逸宁 谷祖琳,https://movie.douban.com/subject/4305436/
指环王1：魔戒再现,彼得·杰克逊,8.9,伊莱贾·伍德 西恩·奥斯汀 伊恩·麦克莱恩 维果·莫腾森 奥兰多·布鲁姆,https://movie.douban.com/subject/1291571/
两小无猜,杨·塞谬尔,8.1,吉约姆·卡内 玛丽昂·歌迪亚 蒂博•费尔哈格 约瑟芬·勒巴-乔利 艾曼妞·格伦沃尔德,https://movie.douban.com/subject/1308817/
勇敢的心,梅尔·吉布森,8.8,梅尔·吉布森 苏菲·玛索 布莱恩·考克斯 詹姆斯·卡沙莫 辛·劳洛,https://movie.douban.com/subject/1294639/
