,职位名称,公司名称,职位月薪,工作地点,发布日期
248,Java中级工程师,科技谷(厦门)信息技术有限公司,8000-12000,厦门,招聘中
249,信息安全分析师,厦门市医鹭信息技术服务有限公司,10001-15000,厦门,招聘中
250,阿里云事业群-云业务架构师-福建区域,阿里巴巴集团,面议,厦门,招聘中
251,控制算法工程师,厦门奥普拓自控科技有限公司,8001-10000,厦门-海沧区,最近
252,计算机视觉研究员,厦门幻世网络科技有限公司,12000-24000,厦门,招聘中
253,高级大数据工程师,北京卡洛其咨询有限公司,12000-17000,厦门,招聘中
254,Mysql 数据库专家,中兴软创科技股份有限公司,12000-24000,厦门,招聘中
255,测试开发,北京柯莱特科技有限公司,9000-12000,厦门,招聘中
256,IT支持/运维工程师,厦门奥极亿通讯科技有限公司,4001-6000,厦门-思明区,招聘中
257,服务端开发工程师,冠军(厦门)科技有限公司,8000-15000,厦门-湖里区,招聘中
258,Web信息安全工程师,厦门鲸创网络科技有限公司,6000-12000,厦门,最新
259,机器学习算法工程师,厦门市直播吧信息技术有限公司,15001-20000,厦门,招聘中
260,WEB前端,奇幻熊(厦门)信息技术有限公司,6000-12000,厦门,招聘中
261,大数据方向数据处理工程师,厦门艾帝尔斯进出口有限公司,6001-8000,厦门,招聘中
262,服务端开发人员,燕之王有限公司,10001-15000,厦门,招聘中
263,网络安全总监,厦门网赢集团有限公司,8000-12000,厦门,招聘中
264,图像算法工程师（应届生）,厦门福信光电集成有限公司,5000-10000,厦门,最近
265,网络运维工程师,厦门朗视信息科技有限公司,5000-8000,厦门,招聘中
266,服务器工程师,厦门盈趣科技股份有限公司,6001-8000,厦门,最新
267,测试工程师（单片机/linux/安卓）,厦门立林科技有限公司,6001-8000,厦门-集美区,招聘中
268,运维工程师,厦门享游网络科技有限公司,3000-6000,厦门-思明区,最近
269,IPC嵌入式软件工程师,厦门万物云联网络科技有限公司,6000-12000,厦门,招聘中
270,运维测试-急聘！！！,厦门古美术电子商务有限公司,8000-12000,厦门,最近
271,推荐算法工程师,准动网络科技(厦门)有限公司,10000-20000,厦门,招聘中
272,服务端工程师,厦门口袋传奇网络有限公司,15000-25000,厦门-思明区,招聘中
273,安全技术工程师,四三九九网络股份有限公司,7000-14000,厦门,最近
274,软件测试工程师,罗普特（厦门）科技集团有限公司,6000-12000,厦门,最新
275,数据分析员,福建龙净环保股份有限公司,6001-8000,厦门,招聘中
276,运动控制算法工程师,同致电子科技(厦门)有限公司,7000-10000,厦门-湖里区,最新
277,算法研发工程师,厦门邑通软件科技有限公司,10001-15000,厦门,最新
278,QA 质量保证工程师,北京网宿科技有限公司,8000-15000,厦门,招聘中
279,高级数据分析专家（工业分析方向）,科技谷(厦门)信息技术有限公司,18000-22000,厦门,招聘中
280,电子工程师,厦门博聪信息技术有限公司,5000-9000,厦门,最新
281,高级运维工程师,厦门市易联众易惠科技有限公司,8000-16000,厦门,招聘中
282,数据挖掘工程师（高级）,泉州如意娘婚姻服务有限公司,20001-30000,厦门,招聘中
283,大数据开发工程师,南京蒙正智库房地产信息咨询有限公司,8000-15000,厦门-集美区,招聘中
284,人脸识别算法工程师,厦门上特展示系统工程有限公司,10000-20000,厦门,招聘中
285,DBA,厦门锐特信息技术有限公司,10000-20000,厦门-集美区,招聘中
286,运维工程师,冠军(厦门)科技有限公司,5000-10000,厦门-湖里区,招聘中
287,自动化测试工程师,福建星网智慧科技股份有限公司,6000-10000,厦门,招聘中
288,大数据开发技术组长（海沧   福州）,厦门市南方科宇科技有限公司,10000-18000,厦门-海沧区,招聘中
289,运维工程师,深夜互动(厦门)信息科技有限公司,6000-12000,厦门,招聘中
290,金融工程研究员,瑞达期货股份有限公司,5000-8000,厦门,招聘中
