,职位名称,公司名称,职位月薪,工作地点,发布日期
370,前端工程师,柬单点(厦门)信息科技有限公司,12000-15000,厦门,招聘中
371,图像识别工程师,厦门心橙便利科技有限公司,10001-15000,厦门,招聘中
372,金融IT产品经理,厦门宁水投资管理有限公司,6001-8000,厦门,招聘中
373,软件运维工程师,厦门流通宝科技有限公司,5000-10000,厦门,招聘中
375,AI技术专家,北京网宿科技有限公司,25000-50000,厦门,招聘中
376,安全工程师（开发方向）,北京网宿科技有限公司,10000-20000,厦门,招聘中
377,产品运营工程师,北京网宿科技有限公司,6000-12000,厦门,招聘中
378,测试工程师,北京网宿科技有限公司,8001-10000,厦门,招聘中
379,技术总监/技术经理,厦门顺唯信息技术有限公司,12000-20000,厦门,最近
380,数据挖掘分析师,哥们网科技有限公司,9000-18000,厦门,最新
381,数据挖掘工程师,厦门艾帝尔斯进出口有限公司,4001-6000,厦门,招聘中
